caseid,start_timestamp,end_timestamp,Activity,user
10009138,2014-04-10T23:00:00,2014-04-10T23:00:00, 01_HOOFD_0,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 01_HOOFD_1,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 01_HOOFD_0,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 01_HOOFD_1,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 01_HOOFD_0,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 04_BPT_0,9264148
10009138,2014-04-13T23:00:00,2014-04-13T23:00:00, 02_DRZ_0,9264148
10009138,2014-04-13T23:00:00,2014-04-14T08:37:17, 01_HOOFD_0,9264148
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_2,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_3,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_2,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_3,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_1,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_1,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 08_AWB45_0,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 13_CRD_0,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 11_AH_II_0,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_3,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 09_AH_I_0,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_3,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_2,2670601
10009138,2014-05-19T23:00:00,2014-05-19T23:00:00, 01_HOOFD_4,2670601
10009138,2014-06-03T23:00:00,2014-06-03T23:00:00, 01_HOOFD_4,560912
10009138,2014-06-03T23:00:00,2014-06-03T23:00:00, 01_HOOFD_5,560912
10009138,2014-06-03T23:00:00,2014-06-03T23:00:00, 01_HOOFD_4,560912
10009138,2014-06-03T23:00:00,2014-06-04T23:00:00, 01_HOOFD_5,560912
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_1,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 04_BPT_0,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_1,560872
10051383,2014-04-16T23:00:00,2014-04-16T23:00:00, 02_DRZ_0,560872
10051383,2014-04-17T13:38:13,2014-04-17T13:38:13, 01_HOOFD_0,560872
10051383,2014-05-26T23:00:00,2014-05-26T23:00:00, 08_AWB45_0,2670601
10051383,2014-05-26T23:00:00,2014-05-26T23:00:00, 01_HOOFD_1,2670601
10051383,2014-05-26T23:00:00,2014-06-12T23:00:00, 08_AWB45_0,2670601
10051383,2014-06-15T23:00:00,2014-06-15T23:00:00, 01_HOOFD_1,560872
10051383,2014-06-15T23:00:00,2014-06-15T23:00:00, 08_AWB45_0,560872
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_3,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_3,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_2,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_1,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_2,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 09_AH_I_0,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_1,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_2,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_3,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 08_AWB45_0,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_3,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 13_CRD_0,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_4,2670601
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-23T23:00:00,2014-06-23T23:00:00, 11_AH_II_0,2670601
10051383,2014-06-25T23:00:00,2014-06-25T23:00:00, 01_HOOFD_4,560912
10051383,2014-06-25T23:00:00,2014-06-25T23:00:00, 01_HOOFD_5,560912
10051383,2014-06-25T23:00:00,2014-06-25T23:00:00, 01_HOOFD_4,560912
10051383,2014-06-25T23:00:00,2014-06-25T23:00:00, 01_HOOFD_5,560912
10053042,2014-04-13T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 02_DRZ_0,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 04_BPT_0,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_1,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_0,9264148
10053042,2014-04-16T23:00:00,2014-04-16T23:00:00, 01_HOOFD_1,9264148
